Movie_id, Gross Revenue, Budget, Language, Genre, Country
[2530853, 40531, 4000000, 2, 4, 1]
[2530853, 30189, 4000000, 2, 4, 1]
[2530853, 13200, 4000000, 2, 4, 1]
[2530867, 95687, 400000, 1, 1, 1]
[2530867, 92248, 400000, 1, 1, 1]
[2530867, 87829, 400000, 1, 1, 1]
[2530867, 81945, 400000, 1, 1, 1]
[2530867, 76281, 400000, 1, 1, 1]
[2530867, 66587, 400000, 1, 1, 1]
[2530867, 55091, 400000, 1, 1, 1]
[2530867, 33674, 400000, 1, 1, 1]
[2530867, 11456, 400000, 1, 1, 1]
[2531002, 12232937, 22000000, 1, 3, 1]
[2531002, 12187944, 22000000, 1, 3, 1]
[2531002, 12082746, 22000000, 1, 3, 1]
[2531002, 12003369, 22000000, 1, 3, 1]
[2531002, 11812067, 22000000, 1, 3, 1]
[2531002, 11492383, 22000000, 1, 3, 1]
[2531002, 11329749, 22000000, 1, 3, 1]
[2531002, 10757296, 22000000, 1, 3, 1]
[2531002, 8982767, 22000000, 1, 3, 1]
[2531002, 5329240, 22000000, 1, 3, 1]
[2531047, 56667870, 20000000, 1, 3, 2]
[2531047, 56667870, 20000000, 1, 3, 2]
[2531047, 56651943, 20000000, 1, 3, 2]
[2531047, 56614633, 20000000, 1, 3, 2]
[2531047, 56567844, 20000000, 1, 3, 2]
[2531047, 56501001, 20000000, 1, 3, 2]
[2531047, 56378410, 20000000, 1, 3, 2]
[2531047, 56030347, 20000000, 1, 3, 2]
[2531047, 55090884, 20000000, 1, 3, 2]
[2531047, 53042847, 20000000, 1, 3, 2]
[2531047, 49077220, 20000000, 1, 3, 2]
[2531047, 48355275, 20000000, 1, 3, 2]
[2531047, 45850559, 20000000, 1, 3, 2]
[2531047, 43560133, 20000000, 1, 3, 2]
[2531047, 35019079, 20000000, 1, 3, 2]
[2531047, 33155242, 20000000, 1, 3, 2]
[2531047, 29393000, 20000000, 1, 3, 2]
[2531047, 24949000, 20000000, 1, 3, 2]
[2531047, 17346000, 20000000, 1, 3, 2]
[2531047, 8952538, 20000000, 1, 3, 2]
[2531047, 3394268, 20000000, 1, 3, 2]
[2531047, 56671993, 20000000, 1, 3, 2]
[2531047, 178413838, 20000000, 1, 3, 2]
[2531047, 187733202, 20000000, 1, 3, 2]
[2531047, 121745968, 20000000, 1, 3, 2]
[2531047, 131061209, 20000000, 1, 3, 2]
[2531140, 18335230, 18000000, 2, 4, 2]
[2531140, 18329466, 18000000, 2, 4, 2]
[2531140, 18317299, 18000000, 2, 4, 2]
[2531140, 18300917, 18000000, 2, 4, 2]
[2531140, 18282898, 18000000, 2, 4, 2]
[2531140, 18236586, 18000000, 2, 4, 2]
[2531140, 18136899, 18000000, 2, 4, 2]
[2531140, 17915448, 18000000, 2, 4, 2]
[2531140, 16845896, 18000000, 2, 4, 2]
[2531140, 15679195, 18000000, 2, 4, 2]
[2531140, 13510921, 18000000, 2, 4, 2]
[2531140, 11296805, 18000000, 2, 4, 2]
[2531140, 11124119, 18000000, 2, 4, 2]
[2531140, 10824599, 18000000, 2, 4, 2]
[2531140, 10434435, 18000000, 2, 4, 2]
[2531140, 9862158, 18000000, 2, 4, 2]
[2531140, 9321571, 18000000, 2, 4, 2]
[2531140, 8250856, 18000000, 2, 4, 2]
[2531140, 6611762, 18000000, 2, 4, 2]
[2531140, 4420168, 18000000, 2, 4, 2]
[2531140, 1902336, 18000000, 2, 4, 2]
[2531140, 811528, 18000000, 2, 4, 2]
[2531140, 264851, 18000000, 2, 4, 2]
[2531140, 18335230, 18000000, 2, 4, 2]
[2531140, 60738797, 18000000, 2, 4, 2]
[2531140, 39212338, 18000000, 2, 4, 2]
[2531140, 42403567, 18000000, 2, 4, 2]
[2531264, 56044241, 37000000, 2, 3, 1]
[2531264, 55850974, 37000000, 2, 3, 1]
[2531264, 55664410, 37000000, 2, 3, 1]
[2531264, 55258250, 37000000, 2, 3, 1]
[2531264, 54561017, 37000000, 2, 3, 1]
[2531264, 52080216, 37000000, 2, 3, 1]
[2531264, 48522282, 37000000, 2, 3, 1]
[2531264, 42880123, 37000000, 2, 3, 1]
[2531264, 35060728, 37000000, 2, 3, 1]
[2531264, 21054283, 37000000, 2, 3, 1]
[2531264, 57231747, 37000000, 2, 3, 1]
[2531264, 39223950, 37000000, 2, 3, 1]
[2531264, 96455697, 37000000, 2, 3, 1]
[2531276, 52822418, 50000000, 2, 4, 1]
[2531276, 52702065, 50000000, 2, 4, 1]
[2531276, 52516271, 50000000, 2, 4, 1]
[2531276, 52255291, 50000000, 2, 4, 1]
[2531276, 51706404, 50000000, 2, 4, 1]
[2531276, 47742896, 50000000, 2, 4, 1]
[2531276, 42848089, 50000000, 2, 4, 1]
[2531276, 32763829, 50000000, 2, 4, 1]
[2531276, 16000000, 50000000, 2, 4, 1]
[2531276, 46626784, 50000000, 2, 4, 1]
[2531276, 45671346, 50000000, 2, 4, 1]
[2531276, 1734192, 50000000, 2, 4, 1]
[2531330, 9134, 4000000, 1, 2, 1]
[2531550, 71985628, 25000000, 1, 2, 1]
[2531550, 71975611, 25000000, 1, 2, 1]
[2531550, 71953494, 25000000, 1, 2, 1]
[2531550, 71912310, 25000000, 1, 2, 1]
[2531550, 71836819, 25000000, 1, 2, 1]
[2531550, 71706278, 25000000, 1, 2, 1]
[2531550, 71519946, 25000000, 1, 2, 1]
[2531550, 71124791, 25000000, 1, 2, 1]
[2531550, 71045248, 25000000, 1, 2, 1]
[2531550, 70918071, 25000000, 1, 2, 1]
[2531550, 70704142, 25000000, 1, 2, 1]
[2531550, 69926874, 25000000, 1, 2, 1]
[2531550, 67453524, 25000000, 1, 2, 1]
[2531550, 53738325, 25000000, 1, 2, 1]
[2531550, 40442058, 25000000, 1, 2, 1]
[2531550, 20617667, 25000000, 1, 2, 1]
[2531550, 71985628, 25000000, 1, 2, 1]
[2531550, 131998242, 25000000, 1, 2, 1]
[2531550, 60012614, 25000000, 1, 2, 1]
[2531601, 7191399, 40000000, 1, 4, 2]
[2531601, 52000000, 40000000, 1, 4, 2]
[2531682, 24375436, 42000000, 5, 4, 2]
[2531682, 24292715, 42000000, 5, 4, 2]
[2531682, 24160216, 42000000, 5, 4, 2]
[2531682, 23546040, 42000000, 5, 4, 2]
[2531682, 21649365, 42000000, 5, 4, 2]
[2531682, 17898141, 42000000, 5, 4, 2]
[2531682, 10523154, 42000000, 5, 4, 2]
[2531832, 36883539, 52000000, 1, 4, 2]
[2531832, 36815755, 52000000, 1, 4, 2]
[2531832, 36656790, 52000000, 1, 4, 2]
[2531832, 36497477, 52000000, 1, 4, 2]
[2531832, 36310980, 52000000, 1, 4, 2]
[2531832, 36212828, 52000000, 1, 4, 2]
